===========SIZEofArray is: 100 and optimizeOPTion: -O0
===========SIZEofArray is: 100 and optimizeOPTion: -O1
===========SIZEofArray is: 100 and optimizeOPTion: -O2
===========SIZEofArray is: 100 and optimizeOPTion: -O3
===========SIZEofArray is: 1000 and optimizeOPTion: -O0
===========SIZEofArray is: 1000 and optimizeOPTion: -O1
===========SIZEofArray is: 1000 and optimizeOPTion: -O2
===========SIZEofArray is: 1000 and optimizeOPTion: -O3
===========SIZEofArray is: 100000 and optimizeOPTion: -O0
===========SIZEofArray is: 100000 and optimizeOPTion: -O1
===========SIZEofArray is: 100000 and optimizeOPTion: -O2
===========SIZEofArray is: 100000 and optimizeOPTion: -O3
===========SIZEofArray is: 100 and optimizeOPTion: -O0
===========SIZEofArray is: 100 and optimizeOPTion: -O1
===========SIZEofArray is: 100 and optimizeOPTion: -O2
===========SIZEofArray is: 100 and optimizeOPTion: -O3
===========SIZEofArray is: 1000 and optimizeOPTion: -O0
===========SIZEofArray is: 1000 and optimizeOPTion: -O1
===========SIZEofArray is: 1000 and optimizeOPTion: -O2
===========SIZEofArray is: 1000 and optimizeOPTion: -O3
===========SIZEofArray is: 10000 and optimizeOPTion: -O0
===========SIZEofArray is: 10000 and optimizeOPTion: -O1
===========SIZEofArray is: 10000 and optimizeOPTion: -O2
===========SIZEofArray is: 10000 and optimizeOPTion: -O3
===========SIZEofArray is: 100000 and optimizeOPTion: -O0
===========SIZEofArray is: 100000 and optimizeOPTion: -O1
===========SIZEofArray is: 100000 and optimizeOPTion: -O2
===========SIZEofArray is: 100000 and optimizeOPTion: -O3
===========SIZEofArray is: 1000000 and optimizeOPTion: -O0
===========SIZEofArray is: 1000000 and optimizeOPTion: -O1
===========SIZEofArray is: 1000000 and optimizeOPTion: -O2
===========SIZEofArray is: 1000000 and optimizeOPTion: -O3
===========SIZEofArray is: 10000000 and optimizeOPTion: -O0
===========SIZEofArray is: 10000000 and optimizeOPTion: -O1
===========SIZEofArray is: 10000000 and optimizeOPTion: -O2
===========SIZEofArray is: 10000000 and optimizeOPTion: -O3
===========SIZEofArray is: 100000000 and optimizeOPTion: -O0
===========SIZEofArray is: 100000000 and optimizeOPTion: -O1
===========SIZEofArray is: 100000000 and optimizeOPTion: -O2
===========SIZEofArray is: 100000000 and optimizeOPTion: -O3
===========SIZEofArray is: 1000000000 and optimizeOPTion: -O0
===========SIZEofArray is: 1000000000 and optimizeOPTion: -O1
===========SIZEofArray is: 1000000000 and optimizeOPTion: -O2
===========SIZEofArray is: 1000000000 and optimizeOPTion: -O3
===========SIZEofArray is: 100 and optimizeOPTion: -O0
===========SIZEofArray is: 100 and optimizeOPTion: -O1
===========SIZEofArray is: 100 and optimizeOPTion: -O2
===========SIZEofArray is: 100 and optimizeOPTion: -O3
===========SIZEofArray is: 1000 and optimizeOPTion: -O0
===========SIZEofArray is: 1000 and optimizeOPTion: -O1
