100 	 -O0 		inf
100 	 -O1 		inf
100 	 -O2 		inf
100 	 -O3 		inf
1000 	 -O0 		8388.6
1000 	 -O1 		16777.2
1000 	 -O2 		inf
1000 	 -O3 		inf
10000 	 -O0 		7989.2
10000 	 -O1 		33554.4
10000 	 -O2 		55924.1
10000 	 -O3 		41943.0
100000 	 -O0 		7839.8
100000 	 -O1 		25040.6
100000 	 -O2 		29051.5
100000 	 -O3 		29177.8
1000000 	 -O0 		7794.3
1000000 	 -O1 		24845.9
1000000 	 -O2 		20997.8
1000000 	 -O3 		20997.8
10000000 	 -O0 		6242.2
10000000 	 -O1 		10131.2
10000000 	 -O2 		16546.0
10000000 	 -O3 		16532.5
100000000 	 -O0 		6084.2
100000000 	 -O1 		
100000000 	 -O2 		
100000000 	 -O3 		
1000000000 	 -O0 		
1000000000 	 -O1 		
1000000000 	 -O2 		
1000000000 	 -O3 		
