100 	 -O0 		inf
100 	 -O1 		inf
100 	 -O2 		inf
100 	 -O3 		inf
1000 	 -O0 		12582.9
1000 	 -O1 		25165.8
1000 	 -O2 		25165.8
1000 	 -O3 		25165.8
10000 	 -O0 		9587.0
10000 	 -O1 		40265.3
10000 	 -O2 		59213.7
10000 	 -O3 		47934.9
100000 	 -O0 		9201.4
100000 	 -O1 		28516.5
100000 	 -O2 		31165.1
100000 	 -O3 		31165.1
1000000 	 -O0 		9177.9
1000000 	 -O1 		28268.3
1000000 	 -O2 		18534.9
1000000 	 -O3 		18534.9
10000000 	 -O0 		7870.9
10000000 	 -O1 		11364.1
10000000 	 -O2 		16587.0
10000000 	 -O3 		16594.1
100000000 	 -O0 		7770.1
100000000 	 -O1 		
100000000 	 -O2 		
100000000 	 -O3 		
1000000000 	 -O0 		
1000000000 	 -O1 		
1000000000 	 -O2 		
1000000000 	 -O3 		
