100 	 -O0 		inf
100 	 -O1 		inf
100 	 -O2 		inf
100 	 -O3 		inf
1000 	 -O0 		12582.9
1000 	 -O1 		inf
1000 	 -O2 		inf
1000 	 -O3 		inf
10000 	 -O0 		10066.3
10000 	 -O1 		40265.3
10000 	 -O2 		47934.9
10000 	 -O3 		47934.9
100000 	 -O0 		9632.9
100000 	 -O1 		28597.5
100000 	 -O2 		30783.9
100000 	 -O3 		30411.9
1000000 	 -O0 		9608.0
1000000 	 -O1 		28371.8
1000000 	 -O2 		17494.5
1000000 	 -O3 		17482.3
10000000 	 -O0 		8092.6
10000000 	 -O1 		11605.4
10000000 	 -O2 		16762.1
10000000 	 -O3 		16755.2
100000000 	 -O0 		7979.5
100000000 	 -O1 		
100000000 	 -O2 		
100000000 	 -O3 		
1000000000 	 -O0 		
1000000000 	 -O1 		
1000000000 	 -O2 		
1000000000 	 -O3 		
