
 74839 13767 88259 57687 5905 35534 9950 45114 23945 1638 9175 3223 35207 40690 1622 
 196409 13880 209166 188940 6540 84004 9937 92858 56994 1661 9245 3238 83315 86307 1731 
 398148 14209 411389 393195 7400 144900 9955 231588 118180 1712 11391 4781 152510 150406 1686 
 672224 14161 685717 616622 6936 392751 10099 395375 319549 1805 58041 44795 395873 390450 1699 
 1026592 14258 1039252 1011787 8117 677241 10011 685475 578368 1875 137535 129846 677746 682440 1848 
 1454352 14090 1469087 1422582 8090 977590 10103 987449 819011 1891 190645 182533 978842 985265 1871 
 2551976 14132 2564656 2546310 8982 1710710 10143 1713593 1442793 2020 321286 313459 1691844 1773599 2044 
 3959749 13915 3978214 3766614 10294 2669639 10193 2732215 2177911 2141 507807 550216 2778369 2696998 2195
