
 15981 247 16388 880 383 727 287 1218 428 11 16 0 1155 1471 12 
 63104 260 63394 2532 449 2762 221 3057 1202 14 21 1 2272 2661 16 
 141498 255 141797 5949 957 4743 174 6097 2580 13 43 2 4458 4703 16 
 251661 302 252079 10759 1532 10431 221 9659 4807 12 256 11 9782 9469 17 
 397477 265 397561 16934 2405 14344 194 13354 6864 14 1739 59 13454 15929 14 
 572258 426 579810 27526 3395 21786 185 19894 9695 12 9982 313 19759 20533 11 
 1043800 280 1057526 58925 6698 35856 149 37670 16748 19 33423 390 38600 35478 19 
 3106789 384 2776507 105390 10209 58687 176 53518 24536 14 57636 489 60961 53308 22
