Size 	 Eventname 	  vecmul 	 ExeTime 	 Desc 	 P1Power 	 dramPower
2500 	 PAPI_L3_TCM 		1739	17443	Level_3_cache_misses______Level_3		
2500 	 PAPI_L3_LDM 		59	17417	Level_3_load_misses______Level_3		
2500 	 PAPI_L3_DCA 		13454	18638	Level_3_data_cache_accesses_____Level_3		
2500 	 PAPI_L3_DCR 		15929	18175	Level_3_data_cache_reads_____Level_3		
2500 	 PAPI_L3_DCW 		14	17458	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  vecmul 	 ExeTime 	 Desc 	 P1Power 	 dramPower
3000 	 PAPI_L1_DCM 		572258	25493	Level_1_data_cache_misses_____Level_1	5.222643J	0.579120J
3000 	 PAPI_L1_ICM 		426	25595	Level_1_instruction_cache_misses_____Level_1		
3000 	 PAPI_L1_TCM 		579810	25223	Level_1_cache_misses______Level_1		
3000 	 PAPI_L1_LDM 		27526	25221	Level_1_load_misses______Level_1		
3000 	 PAPI_L1_STM 		3395	25181	Level_1_store_misses______Level_1		
3000 	 PAPI_L2_DCM 		21786	25185	Level_2_data_cache_misses_____Level_2		
3000 	 PAPI_L2_ICM 		185	25218	Level_2_instruction_cache_misses_____Level_2		
3000 	 PAPI_L2_TCM 		19894	25195	Level_2_cache_misses______Level_2		
3000 	 PAPI_L2_LDM 		9695	25240	Level_2_load_misses______Level_2		
3000 	 PAPI_L2_STM 		12	25207	Level_2_store_misses______Level_2		
3000 	 PAPI_L3_TCM 		9982	25236	Level_3_cache_misses______Level_3		
3000 	 PAPI_L3_LDM 		313	25493	Level_3_load_misses______Level_3		
3000 	 PAPI_L3_DCA 		19759	25465	Level_3_data_cache_accesses_____Level_3		
3000 	 PAPI_L3_DCR 		20533	25351	Level_3_data_cache_reads_____Level_3		
3000 	 PAPI_L3_DCW 		11	25215	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  vecmul 	 ExeTime 	 Desc 	 P1Power 	 dramPower
4000 	 PAPI_L1_DCM 		1043800	45431	Level_1_data_cache_misses_____Level_1	8.309732J	0.961544J
4000 	 PAPI_L1_ICM 		280	45452	Level_1_instruction_cache_misses_____Level_1		
4000 	 PAPI_L1_TCM 		1057526	44868	Level_1_cache_misses______Level_1		
4000 	 PAPI_L1_LDM 		58925	45110	Level_1_load_misses______Level_1		
4000 	 PAPI_L1_STM 		6698	44815	Level_1_store_misses______Level_1		
4000 	 PAPI_L2_DCM 		35856	45246	Level_2_data_cache_misses_____Level_2		
4000 	 PAPI_L2_ICM 		149	44892	Level_2_instruction_cache_misses_____Level_2		
4000 	 PAPI_L2_TCM 		37670	45352	Level_2_cache_misses______Level_2		
4000 	 PAPI_L2_LDM 		16748	44936	Level_2_load_misses______Level_2		
4000 	 PAPI_L2_STM 		19	45005	Level_2_store_misses______Level_2		
4000 	 PAPI_L3_TCM 		33423	45175	Level_3_cache_misses______Level_3		
4000 	 PAPI_L3_LDM 		390	44834	Level_3_load_misses______Level_3		
4000 	 PAPI_L3_DCA 		38600	44910	Level_3_data_cache_accesses_____Level_3		
4000 	 PAPI_L3_DCR 		35478	44927	Level_3_data_cache_reads_____Level_3		
4000 	 PAPI_L3_DCW 		19	45048	Level_3_data_cache_writes_____Level_3		
